t,count
1515515361,38
1515516261,38
1515517161,38
1515518061,38
1515518961,38
1515519861,38
1515520761,38
1515521661,38
1515522561,38
1515523461,38
1515524361,38
1515525261,38
1515526161,38
1515527061,38
1515527961,38
1515528861,38
1515529761,38
1515530661,38
1515531561,38
1515532461,38
1515533361,38
1515534261,38
1515535161,38
1515536061,38
1515536961,38
1515537861,38
1515538761,38
1515539661,38
1515540561,38
1515541461,38
1515542361,38
1515543261,38
1515544161,38
1515545061,38
1515545961,38
1515546861,38
1515547761,38
1515548661,38
1515549561,38
1515550461,38
1515551361,38
1515552261,38
1515553161,38
1515554061,38
1515554961,38
1515555861,38
1515556761,38
1515557661,38
1515558561,38
1515559461,38
1515560361,38
1515561261,38
1515562161,38
1515563061,38
1515563961,38
1515564861,38
1515565761,38
1515566661,38
1515567561,38
1515568461,38
1515569361,38
1515570261,38
1515571161,38
1515572061,38
1515572961,38
1515573861,38
1515574761,38
1515575661,38
1515576561,38
1515577461,38
1515578361,38
1515579261,38
1515580161,38
1515581061,38
1515581961,38
1515582861,38
1515583761,38
1515584661,38
1515585561,38
1515586461,38
1515587361,38
1515588261,38
1515589161,38
1515590061,38
1515590961,38
1515591861,38
1515592761,38
1515593661,38
1515594561,38
1515595461,38
1515596361,38
1515597261,38
1515598161,38
1515599061,38
1515599961,38
1515600861,38
1515601761,38
1515602661,38
1515603561,38
1515604461,38
1515605361,38
1515606261,38
1515607161,38
1515608061,38
1515608961,38
1515609861,38
1515610761,38
1515611661,38
1515612561,38
1515613461,38
1515614361,38
1515615261,38
1515616161,38
1515617061,38
1515617961,38
1515618861,38
1515619761,38
1515620661,38
1515621561,38
1515622461,38
1515623361,38
1515624261,38
1515625161,38
1515626061,38
1515626961,38
1515627861,38
1515628761,38
1515629661,38
1515630561,38
1515631461,38
1515632361,38
1515633261,38
1515634161,38
1515635061,38
1515635961,38
1515636861,38
1515637761,38
1515638661,38
1515639561,38
1515640461,38
1515641361,38
1515642261,38
1515643161,38
1515644061,38
1515644961,38
1515645861,38
1515646761,38
1515647661,38
1515648561,38
1515649461,38
1515650361,38
1515651261,38
1515652161,38
1515653061,38
1515653961,38
1515654861,38
1515655761,38
1515656661,38
1515657561,38
1515658461,38
1515659361,38
1515660261,38
1515661161,38
1515662061,38
1515662961,38
1515663861,38
1515664761,38
1515665661,38
1515666561,38
1515667461,38
1515668361,38
1515669261,38
1515670161,38
1515671061,38
1515671961,38
1515672861,38
1515673761,38
1515674661,38
1515675561,38
1515676461,38
1515677361,38
1515678261,38
1515679161,38
1515680061,38
1515680961,38
1515681861,38
1515682761,38
1515683661,38
1515684561,38
1515685461,38
1515686361,38
1515687261,38
1515688161,38
1515689061,38
1515689961,38
1515690861,38
1515691761,38
1515692661,38
1515693561,38
1515694461,38
1515695361,38
1515696261,38
1515697161,38
1515698061,38
1515698961,38
1515699861,38
1515700761,38
1515701661,38
1515702561,38
1515703461,38
1515704361,38
1515705261,38
1515706161,38
1515707061,38
1515707961,38
1515708861,38
1515709761,38
1515710661,38
1515711561,38
1515712461,38
1515713361,38
1515714261,38
1515715161,38
1515716061,38
1515716961,38
1515717861,38
1515718761,38
1515719661,38
1515720561,38
1515721461,38
1515722361,38
1515723261,38
1515724161,38
1515725061,38
1515725961,38
1515726861,38
1515727761,38
1515728661,38
1515729561,38
1515730461,38
1515731361,38
1515732261,38
1515733161,38
1515734061,38
1515734961,38
1515735861,38
1515736761,38
1515737661,38
1515738561,38
1515739461,38
1515740361,38
1515741261,38
1515742161,38
1515743061,38
1515743961,38
1515744861,38
1515745761,38
1515746661,38
1515747561,38
1515748461,38
1515749361,38
1515750261,38
1515751161,38
1515752061,38
1515752961,38
1515753861,38
1515754761,38
1515755661,38
1515756561,38
1515757461,38
1515758361,38
1515759261,38
1515760161,38
1515761061,38
1515761961,38
1515762861,38
1515763761,38
1515764661,38
1515765561,38
1515766461,38
1515767361,38
1519232958,0
1519233858,3
1519234758,3
1519235658,3
1519236558,3
1519237458,3
1519238358,3
1519239258,3
1519240158,3
1519241058,3
1519241958,3
1519242858,3
1519243758,3
1519244658,3
1519245558,3
1519246458,3
1519247358,3
1519248258,3
1519249158,3
1519250058,3
1519250958,3
1519251858,3
1519252758,3
1519253658,3
1519254558,3
1519255458,3
1519256358,3
1519257258,3
1519258158,6
1519259058,9
1519259958,9
1519260858,9
1519261758,9
1519262658,9
1519263558,12
1519264458,12
1519265358,12
1519266258,12
1519267158,12
1519268058,12
1519268958,12
1519269858,12
1519270758,12
1519271658,12
1519272558,12
1519273458,12
1519274358,12
1519275258,12
1519276158,12
1519277058,12
1519277958,12
1519278858,12
1519279758,12
1519280658,12
1519281558,12
1519282458,12
1519283358,12
1519284258,12
1519285158,12
1519286058,12
1519286958,12
1519287858,12
1519288758,12
1519289658,12
1519290558,12
1519291458,12
1519292358,12
1519293258,12
1519294158,12
1519295058,12
1519295958,12
1519296858,12
1519297758,12
1519298658,12
1519299558,12
1519300458,12
1519301358,12
1519302258,12
1519303158,12
1519304058,12
1519304958,12
1519305858,12
1519306758,12
1519307658,12
1519308558,12
1519309458,12
1519310358,12
1519311258,12
1519312158,12
1519313058,12
1519313958,12
1519314858,15
1519315758,15
1519316658,15
1519317558,15
1519318458,15
1519319358,15
1519320258,15
1519321158,15
1519322058,15
1519322958,15
1519323858,15
1519324758,15
1519325658,15
1519326558,15
1519327458,15
1519328358,15
1519329258,15
1519330158,15
1519331058,15
1519331958,15
1519332858,15
1519333758,15
1519334658,15
1519335558,15
1519336458,15
1519337358,15
1519338258,15
1519339158,15
1519340058,15
1519340958,15
1519341858,15
1519342758,15
1519343658,15
1519344558,15
1519345458,15
1519346358,15
1519347258,15
1519348158,15
1519349058,15
1519349958,15
1519350858,15
1519351758,15
1519352658,15
1519353558,15
1519354458,15
1519355358,15
1519356258,15
1519357158,15
1519358058,15
1519358958,15
1519359858,15
1519360758,15
1519361658,15
1519362558,15
1519363458,15
1519364358,15
1519365258,15
1519366158,15
1519367058,15
1519367958,15
1519368858,15
1519369758,15
1519370658,15
1519371558,15
1519372458,15
1519373358,15
