t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519241958,1,0.620000,0.620000,0.620000,0.000000,0.620000,0.620000,0.620000,0.620000,0.620000,0.620000,0.001234,0.000000,0.013667,0.081767,calls/second,seconds
1519242858,1,3.512000,3.512000,3.512000,0.000000,3.512000,3.512000,3.512000,3.512000,3.512000,3.512000,0.002382,0.000215,0.050991,0.126819,calls/second,seconds
