2018-01-05 13:36:05,926  INFO   [qtp613630562-5458] - 352946389 19997373 TOTAL time=10 Preprocessing time=0 Persistency time=10 Change Date=[1515159365892]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-01-05 13:36:19,597  INFO   [qtp613630562-5458] - 71294922 1784202882 TOTAL time=19 Preprocessing time=0 Persistency time=19 Change Date=[1515159379572]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-01-05 13:36:19,671  INFO   [qtp613630562-5458] - 71294922 1784202882 TOTAL time=11 Preprocessing time=0 Persistency time=11 Change Date=[1515159379572]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-01-05 13:36:21,140  INFO   [qtp613630562-5477] - 1423622858 625497628 TOTAL time=8 Preprocessing time=0 Persistency time=8 Change Date=[1515159381107]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-01-05 13:40:07,845  INFO   [qtp613630562-5491] - 1070073036 1058056680 TOTAL time=14 Preprocessing time=0 Persistency time=14 Change Date=[1515159607824]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-01-05 13:40:07,920  INFO   [qtp613630562-5491] - 1070073036 1058056680 TOTAL time=11 Preprocessing time=0 Persistency time=11 Change Date=[1515159607824]  Objects- A:[0], U:[1], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-01-05 13:40:07,944  INFO   [qtp613630562-5491] - 1070073036 1058056680 TOTAL time=13 Preprocessing time=0 Persistency time=13 Change Date=[1515159607824]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-01-05 13:40:10,336  INFO   [qtp613630562-5491] - 207101598 691463387 TOTAL time=13 Preprocessing time=0 Persistency time=13 Change Date=[1515159610293]  Objects- A:[0], U:[1], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-01-05 16:14:44,561  INFO   [qtp613630562-6061] - 1080174888 1111062718 TOTAL time=11 Preprocessing time=0 Persistency time=11 Change Date=[1515168884541]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-01-05 16:14:57,530  INFO   [qtp613630562-6059] - 631015012 1079786539 TOTAL time=30 Preprocessing time=0 Persistency time=30 Change Date=[1515168897484]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
